Train for 937 steps, validate for 117 steps
Epoch 1/10
For batch 0, loss is  0.7160.
  1/937 [..............................] - ETA: 2:32:34 - loss: 0.7160 - accuracy: 0.5195For batch 1, loss is  0.6580.
  2/937 [..............................] - ETA: 1:23:02 - loss: 0.6870 - accuracy: 0.5625For batch 2, loss is  0.6295.
  3/937 [..............................] - ETA: 59:51 - loss: 0.6678 - accuracy: 0.5768  For batch 3, loss is  0.6124.
  4/937 [..............................] - ETA: 48:15 - loss: 0.6540 - accuracy: 0.6016For batch 4, loss is  0.6133.
  5/937 [..............................] - ETA: 41:17 - loss: 0.6458 - accuracy: 0.6156For batch 5, loss is  0.5743.
  6/937 [..............................] - ETA: 36:38 - loss: 0.6339 - accuracy: 0.6276For batch 6, loss is  0.5913.
  7/937 [..............................] - ETA: 33:18 - loss: 0.6278 - accuracy: 0.6345For batch 7, loss is  0.5418.
  8/937 [..............................] - ETA: 30:48 - loss: 0.6171 - accuracy: 0.6460For batch 8, loss is  0.5267.
  9/937 [..............................] - ETA: 28:53 - loss: 0.6070 - accuracy: 0.6589For batch 9, loss is  0.4926.
 10/937 [..............................] - ETA: 27:19 - loss: 0.5956 - accuracy: 0.6754For batch 10, loss is  0.4962.
 11/937 [..............................] - ETA: 26:02 - loss: 0.5865 - accuracy: 0.6861For batch 11, loss is  0.4714.
 12/937 [..............................] - ETA: 24:58 - loss: 0.5769 - accuracy: 0.6963For batch 12, loss is  0.4639.
 13/937 [..............................] - ETA: 24:04 - loss: 0.5683 - accuracy: 0.7070For batch 13, loss is  0.4368.
 14/937 [..............................] - ETA: 23:17 - loss: 0.5589 - accuracy: 0.7154For batch 14, loss is  0.4377.
 15/937 [..............................] - ETA: 22:36 - loss: 0.5508 - accuracy: 0.7190For batch 15, loss is  0.4156.
 16/937 [..............................] - ETA: 22:01 - loss: 0.5423 - accuracy: 0.7283For batch 16, loss is  0.3898.
 17/937 [..............................] - ETA: 21:29 - loss: 0.5334 - accuracy: 0.7362For batch 17, loss is  0.3915.
