Train for 937 steps, validate for 117 steps
Epoch 1/10
For batch 0, loss is  0.8002.
  1/937 [..............................] - ETA: 1:50:07 - loss: 0.8002 - accuracy: 0.4922For batch 1, loss is  0.8412.
  2/937 [..............................] - ETA: 59:11 - loss: 0.8207 - accuracy: 0.5039  For batch 2, loss is  0.7615.
  3/937 [..............................] - ETA: 42:17 - loss: 0.8010 - accuracy: 0.5208For batch 3, loss is  0.6947.
  4/937 [..............................] - ETA: 33:40 - loss: 0.7744 - accuracy: 0.5166For batch 4, loss is  0.6359.
  5/937 [..............................] - ETA: 28:34 - loss: 0.7467 - accuracy: 0.5258For batch 5, loss is  0.7255.
  6/937 [..............................] - ETA: 25:12 - loss: 0.7432 - accuracy: 0.5358For batch 6, loss is  0.6185.
  7/937 [..............................] - ETA: 22:46 - loss: 0.7254 - accuracy: 0.5513For batch 7, loss is  0.6710.
  8/937 [..............................] - ETA: 20:54 - loss: 0.7186 - accuracy: 0.5542For batch 8, loss is  0.6282.
  9/937 [..............................] - ETA: 19:28 - loss: 0.7085 - accuracy: 0.5634For batch 9, loss is  0.6304.
 10/937 [..............................] - ETA: 18:20 - loss: 0.7007 - accuracy: 0.5777For batch 10, loss is  0.5335.
 11/937 [..............................] - ETA: 17:25 - loss: 0.6855 - accuracy: 0.5920For batch 11, loss is  0.5276.
 12/937 [..............................] - ETA: 16:38 - loss: 0.6724 - accuracy: 0.6045For batch 12, loss is  0.4874.
 13/937 [..............................] - ETA: 15:58 - loss: 0.6581 - accuracy: 0.6151For batch 13, loss is  0.4517.
 14/937 [..............................] - ETA: 15:24 - loss: 0.6434 - accuracy: 0.6267For batch 14, loss is  0.3601.
 15/937 [..............................] - ETA: 14:53 - loss: 0.6245 - accuracy: 0.6414For batch 15, loss is  0.3361.
 16/937 [..............................] - ETA: 14:27 - loss: 0.6065 - accuracy: 0.6543For batch 16, loss is  0.3436.
 17/937 [..............................] - ETA: 14:04 - loss: 0.5910 - accuracy: 0.6668For batch 17, loss is  0.3216.
 18/937 [..............................] - ETA: 13:44 - loss: 0.5761 - accuracy: 0.6777For batch 18, loss is  0.2568.
 19/937 [..............................] - ETA: 13:24 - loss: 0.5592 - accuracy: 0.6896For batch 19, loss is  0.2679.
 20/937 [..............................] - ETA: 13:08 - loss: 0.5447 - accuracy: 0.6994For batch 20, loss is  0.1708.
 21/937 [..............................] - ETA: 12:53 - loss: 0.5269 - accuracy: 0.7113For batch 21, loss is  0.2082.
 22/937 [..............................] - ETA: 12:39 - loss: 0.5124 - accuracy: 0.7211For batch 22, loss is  0.1724.
 23/937 [..............................] - ETA: 12:26 - loss: 0.4976 - accuracy: 0.7308For batch 23, loss is  0.1277.
 24/937 [..............................] - ETA: 12:14 - loss: 0.4822 - accuracy: 0.7407For batch 24, loss is  0.1218.
 25/937 [..............................] - ETA: 12:04 - loss: 0.4678 - accuracy: 0.7494For batch 25, loss is  0.1274.
 26/937 [..............................] - ETA: 11:53 - loss: 0.4547 - accuracy: 0.7569For batch 26, loss is  0.1106.
 27/937 [..............................] - ETA: 11:44 - loss: 0.4419 - accuracy: 0.7646For batch 27, loss is  0.1180.
 28/937 [..............................] - ETA: 11:35 - loss: 0.4304 - accuracy: 0.7713For batch 28, loss is  0.1442.
 29/937 [..............................] - ETA: 11:27 - loss: 0.4205 - accuracy: 0.7768For batch 29, loss is  0.0670.
 30/937 [..............................] - ETA: 11:19 - loss: 0.4087 - accuracy: 0.7835For batch 30, loss is  0.1364.
