Sensitivity	,0.9659,TPR = TP / (TP + FN)
Specificity	,0.9977,SPC = TN / (FP + TN)
Precision,0.9976,PPV = TP / (TP + FP)
Negative Predictive Value,0.9671,NPV = TN / (TN + FN)
False Positive Rate,0.0023,FPR = FP / (FP + TN)
False Discovery Rate,0.0024,FDR = FP / (FP + TP)
False Negative Rate,0.0341,FNR = FN / (FN + TP)
Accuracy,0.9818,ACC = (TP + TN) / (P + N)
F1 Score,0.9815,F1 = 2TP / (2TP + FP + FN)
Matthews Correlation Coefficient,0.9641,TP*TN - FP*FN / sqrt((TP+FP)*(TP+FN)*(TN+FP)*(TN+FN))
