Train for 937 steps, validate for 117 steps
Epoch 1/10
For batch 0, loss is  0.8348.
  1/937 [..............................] - ETA: 1:20:53 - loss: 0.8348 - accuracy: 0.4727For batch 1, loss is  1.8596.
  2/937 [..............................] - ETA: 47:00 - loss: 1.3472 - accuracy: 0.5117  For batch 2, loss is  3.5925.
  3/937 [..............................] - ETA: 35:43 - loss: 2.0957 - accuracy: 0.5052For batch 3, loss is 14.3645.
  4/937 [..............................] - ETA: 30:04 - loss: 5.1629 - accuracy: 0.4971For batch 4, loss is  1.1247.
  5/937 [..............................] - ETA: 26:40 - loss: 4.3553 - accuracy: 0.4977For batch 5, loss is  7.2376.
  6/937 [..............................] - ETA: 24:24 - loss: 4.8356 - accuracy: 0.5020For batch 6, loss is  1.6052.
  7/937 [..............................] - ETA: 22:47 - loss: 4.3741 - accuracy: 0.5045For batch 7, loss is  5.5437.
  8/937 [..............................] - ETA: 21:33 - loss: 4.5203 - accuracy: 0.5063For batch 8, loss is  1.0561.
  9/937 [..............................] - ETA: 20:36 - loss: 4.1354 - accuracy: 0.5208For batch 9, loss is  0.7280.
 10/937 [..............................] - ETA: 19:51 - loss: 3.7947 - accuracy: 0.5250For batch 10, loss is  0.7006.
 11/937 [..............................] - ETA: 19:13 - loss: 3.5134 - accuracy: 0.5281For batch 11, loss is  0.6909.
 12/937 [..............................] - ETA: 18:42 - loss: 3.2782 - accuracy: 0.5355For batch 12, loss is  0.8773.
 13/937 [..............................] - ETA: 18:15 - loss: 3.0935 - accuracy: 0.5373For batch 13, loss is  1.2584.
 14/937 [..............................] - ETA: 17:52 - loss: 2.9624 - accuracy: 0.5393For batch 14, loss is  1.2421.
 15/937 [..............................] - ETA: 17:32 - loss: 2.8478 - accuracy: 0.5383For batch 15, loss is  0.8530.
 16/937 [..............................] - ETA: 17:14 - loss: 2.7231 - accuracy: 0.5410For batch 16, loss is  0.6334.
 17/937 [..............................] - ETA: 17:00 - loss: 2.6002 - accuracy: 0.5402For batch 17, loss is  1.2811.
 18/937 [..............................] - ETA: 16:46 - loss: 2.5269 - accuracy: 0.5399For batch 18, loss is  1.5747.
 19/937 [..............................] - ETA: 16:33 - loss: 2.4768 - accuracy: 0.5393For batch 19, loss is  0.5828.
 20/937 [..............................] - ETA: 16:22 - loss: 2.3821 - accuracy: 0.5447For batch 20, loss is  0.5716.
 21/937 [..............................] - ETA: 16:11 - loss: 2.2958 - accuracy: 0.5499For batch 21, loss is  0.6040.
 22/937 [..............................] - ETA: 16:01 - loss: 2.2189 - accuracy: 0.5568For batch 22, loss is  0.7120.
 23/937 [..............................] - ETA: 15:52 - loss: 2.1534 - accuracy: 0.5600For batch 23, loss is  0.5382.
 24/937 [..............................] - ETA: 15:44 - loss: 2.0861 - accuracy: 0.5666For batch 24, loss is  0.5425.
 25/937 [..............................] - ETA: 15:36 - loss: 2.0244 - accuracy: 0.5700For batch 25, loss is  0.5016.
 26/937 [..............................] - ETA: 15:29 - loss: 1.9658 - accuracy: 0.5778For batch 26, loss is  0.5305.
 27/937 [..............................] - ETA: 15:22 - loss: 1.9127 - accuracy: 0.5817For batch 27, loss is  0.5407.
 28/937 [..............................] - ETA: 15:16 - loss: 1.8637 - accuracy: 0.5834For batch 28, loss is  0.4940.
 29/937 [..............................] - ETA: 15:10 - loss: 1.8164 - accuracy: 0.5889For batch 29, loss is  0.5059.
 30/937 [..............................] - ETA: 15:04 - loss: 1.7727 - accuracy: 0.5961For batch 30, loss is  0.4691.
 31/937 [..............................] - ETA: 14:59 - loss: 1.7307 - accuracy: 0.6038For batch 31, loss is  0.4943.
 32/937 [>.............................] - ETA: 14:54 - loss: 1.6921 - accuracy: 0.6079For batch 32, loss is  0.5067.
 33/937 [>.............................] - ETA: 14:49 - loss: 1.6561 - accuracy: 0.6138For batch 33, loss is  0.4953.
